SMILES,CLUSTER
Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,2.0
NC1=NS(=O)(=O)Nc2nc(C3CCCCC3)[nH]c21,2.0
NC1=NS(=O)(=O)Nc2nc(Cc3ccccc3)[nH]c21,2.0
NC1=NS(=O)(=O)N(Cc2ccc(Cl)cc2)c2nc(-c3ccccc3F)[nH]c21,2.0
NC1=NS(=O)(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)n(Cc3ccccc3)c21,1.1.1
CC(=O)Oc1ccc(C2Oc3cc(OC(C)=O)cc(O)c3C(=O)C2c2c(OC(C)=O)cc(O)c3c(=O)cc(-c4ccc(OC(C)=O)c(OC(C)=O)c4)oc23)cc1,1.3
COc1ccc(C2Oc3cc(OC)cc(O)c3C(=O)C2c2c(OC)cc(O)c3c(=O)cc(-c4ccc(OC)c(OC)c4)oc23)cc1,1.3
Nc1c(C2=NCCN2)cnn1-c1cc(Cl)cc(Cl)c1,1.2
Nc1c(C2=NCCN2)cnn1-c1ccc(Cl)c(Cl)c1,1.2
NC(=S)NN=CCSc1cccc(Cl)c1,3.0
Cn1c(=O)n(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc21,1.1.3
Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,1.1.5
CCC(=NNc1nc(-c2ccccc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(C)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(F)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)cc2Cl)cs1)c1cccc(Br)c1,1.3
CC(C)=CCC1=C(O)c2ccccc2C(=NNC(N)=S)C1=O,3.0
CC(C)=CCC1=C(O)c2ccccc2C(=NNC(=O)c2ccncc2)C1=O,1.1.1
OCCCNc1nc(NCc2ccccc2)c2ccccc2n1,1.1.1
Oc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1.1.1
Oc1cccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)c1,1.1.1
c1ccc(CNc2nc(Nc3nccs3)nc3ccccc23)cc1,1.1.1
OCCCNc1nc(Nc2cccc(F)c2)c2ccccc2n1,1.1.1
